date,product_id,quantity
2024-01-01,P1,6
2024-01-01,P2,3
2024-01-01,P3,7
2024-01-01,P4,4
2024-01-01,P5,6
2024-01-01,P6,9
2024-01-01,P7,2
2024-01-01,P8,6
2024-01-01,P9,7
2024-01-01,P10,4
2024-01-01,P11,3
2024-01-01,P12,7
2024-01-01,P13,7
2024-01-01,P14,2
2024-01-01,P15,5
2024-01-01,P16,4
2024-01-01,P17,1
2024-01-01,P18,7
2024-01-01,P19,5
2024-01-01,P20,1
2024-01-02,P1,4
2024-01-02,P2,0
2024-01-02,P3,9
2024-01-02,P4,5
2024-01-02,P5,8
2024-01-02,P6,0
2024-01-02,P7,9
2024-01-02,P8,2
2024-01-02,P9,6
2024-01-02,P10,3
2024-01-02,P11,8
2024-01-02,P12,2
2024-01-02,P13,4
2024-01-02,P14,2
2024-01-02,P15,6
2024-01-02,P16,4
2024-01-02,P17,8
2024-01-02,P18,6
2024-01-02,P19,1
2024-01-02,P20,3
2024-01-03,P1,8
2024-01-03,P2,1
2024-01-03,P3,9
2024-01-03,P4,8
2024-01-03,P5,9
2024-01-03,P6,4
2024-01-03,P7,1
2024-01-03,P8,3
2024-01-03,P9,6
2024-01-03,P10,7
2024-01-03,P11,2
2024-01-03,P12,0
2024-01-03,P13,3
2024-01-03,P14,1
2024-01-03,P15,7
2024-01-03,P16,3
2024-01-03,P17,1
2024-01-03,P18,5
2024-01-03,P19,5
2024-01-03,P20,9
2024-01-04,P1,3
2024-01-04,P2,5
2024-01-04,P3,1
2024-01-04,P4,9
2024-01-04,P5,1
2024-01-04,P6,9
2024-01-04,P7,3
2024-01-04,P8,7
2024-01-04,P9,6
2024-01-04,P10,8
2024-01-04,P11,7
2024-01-04,P12,4
2024-01-04,P13,1
2024-01-04,P14,4
2024-01-04,P15,7
2024-01-04,P16,9
2024-01-04,P17,8
2024-01-04,P18,8
2024-01-04,P19,0
2024-01-04,P20,8
2024-01-05,P1,6
2024-01-05,P2,8
2024-01-05,P3,7
2024-01-05,P4,0
2024-01-05,P5,7
2024-01-05,P6,7
2024-01-05,P7,2
2024-01-05,P8,0
2024-01-05,P9,7
2024-01-05,P10,2
2024-01-05,P11,2
2024-01-05,P12,0
2024-01-05,P13,4
2024-01-05,P14,9
2024-01-05,P15,6
2024-01-05,P16,9
2024-01-05,P17,8
2024-01-05,P18,6
2024-01-05,P19,8
2024-01-05,P20,7
2024-01-06,P1,1
2024-01-06,P2,0
2024-01-06,P3,6
2024-01-06,P4,6
2024-01-06,P5,7
2024-01-06,P6,4
2024-01-06,P7,2
2024-01-06,P8,7
2024-01-06,P9,5
2024-01-06,P10,2
2024-01-06,P11,0
2024-01-06,P12,2
2024-01-06,P13,4
2024-01-06,P14,2
2024-01-06,P15,0
2024-01-06,P16,4
2024-01-06,P17,9
2024-01-06,P18,6
2024-01-06,P19,6
2024-01-06,P20,8
2024-01-07,P1,9
2024-01-07,P2,9
2024-01-07,P3,2
2024-01-07,P4,6
2024-01-07,P5,0
2024-01-07,P6,3
2024-01-07,P7,3
2024-01-07,P8,4
2024-01-07,P9,6
2024-01-07,P10,6
2024-01-07,P11,3
2024-01-07,P12,6
2024-01-07,P13,2
2024-01-07,P14,5
2024-01-07,P15,1
2024-01-07,P16,9
2024-01-07,P17,8
2024-01-07,P18,4
2024-01-07,P19,5
2024-01-07,P20,3
2024-01-08,P1,9
2024-01-08,P2,6
2024-01-08,P3,8
2024-01-08,P4,6
2024-01-08,P5,0
2024-01-08,P6,0
2024-01-08,P7,8
2024-01-08,P8,8
2024-01-08,P9,3
2024-01-08,P10,8
2024-01-08,P11,2
2024-01-08,P12,6
2024-01-08,P13,5
2024-01-08,P14,7
2024-01-08,P15,8
2024-01-08,P16,4
2024-01-08,P17,0
2024-01-08,P18,2
2024-01-08,P19,9
2024-01-08,P20,7
2024-01-09,P1,5
2024-01-09,P2,7
2024-01-09,P3,8
2024-01-09,P4,3
2024-01-09,P5,0
2024-01-09,P6,0
2024-01-09,P7,9
2024-01-09,P8,3
2024-01-09,P9,6
2024-01-09,P10,1
2024-01-09,P11,2
2024-01-09,P12,0
2024-01-09,P13,4
2024-01-09,P14,0
2024-01-09,P15,7
2024-01-09,P16,0
2024-01-09,P17,0
2024-01-09,P18,1
2024-01-09,P19,1
2024-01-09,P20,5
2024-01-10,P1,6
2024-01-10,P2,4
2024-01-10,P3,0
2024-01-10,P4,0
2024-01-10,P5,2
2024-01-10,P6,1
2024-01-10,P7,4
2024-01-10,P8,9
2024-01-10,P9,5
2024-01-10,P10,6
2024-01-10,P11,3
2024-01-10,P12,6
2024-01-10,P13,7
2024-01-10,P14,0
2024-01-10,P15,5
2024-01-10,P16,7
